text,cleaned_text
I know I’m probably late to the discourse for Season 3 of Sex Education but I just wanna say I fucking hate Hope with every fiber of my being and making Viv a pawn for this white woman’s puritanical tyranny rubs me the wrong way.,know probably late discourse wanna say fuck hate hope every fiber make viv pawn white woman puritanical tyranny rub wrong way
"Said I wasn’t gonna binge my way through season 3 of Sex Education and yet here I am, penultimate episode. https://t.co/1FCDTzcgnG",say gonna binge way yet penultimate
"Things I’ve seen that I’ve liked recently on telly:

- Final season of On My Block 
- Latest series of Sex Education 
- Hip Hop Uncovered 
- Currently up to episode 3 of Good Girls 
- Movies The Made Us: The Nightmare Before Christmas episode 

@LampScientists",see like recently telly final block latest sery hip hop uncover currently good girl movy make u nightmare christma
watching sex education season 3 and episode 6 got me so fucking nervous y'all,get fuck nervou yall
Omg they really stepped it up season 3 of Sex Education. Ya girl really been sitting here like: https://t.co/euWd1z7rTs,omg step ya girl sit like
I'm only 3 eps into season 1 of sex education and I'm already in tears????,ep already tear
"Check out my  @netflix  Sex Education Season 3 Review on @fanbolt! @emmaloggins @jemimakirke @asabfb
 @doitlikedua @GillianA @emmamackeyoff
 https://t.co/wtmjNeUSbf https://t.co/cERrmEQeDl",check review
Aimee in Sex Education season 3 https://t.co/6X9moPkgzU,aimee
Season 3 of Sex Education is a whole new dynamic and I’m enjoying it 😂,whole new dynamic enjoy
"@emrazz A good example (not perfect, but good)
Sex education, season 3, episode 4

https://t.co/9Wp3cm9SSl",good example perfect good
"@scottj77 @emrazz I wonder if you've come across the show 'sex education'.... I think parts could definitely be a useful educational tool for teenagers...

Season 3, episode 4....
https://t.co/9Wp3cm9SSl",wonder youve come acros show think part can definitely useful educational tool teenager
Yo they was WILDIN on the opening scene of Sex Education season 3 😭,yo wildin
"Bisi Alimi Foundation founder @bisialimi talked to @NPRGoatsandSoda about season 3 of Sex Education and the character Eric's trip to Nigeria. 
https://t.co/1idcK7e4CJ",bisi alimi foundation founder talk character eric trip nigeria
sex education season 3 episode 5 i'm crying,cry
