,Tweet Date,text,Twitter Handle
46,"10,15,2021 6:20",Sex Education season 3 feels so weird I just get mad at everyone,cazcaleando
47,"10,15,2021 6:18",omg opening sequence of sex education season 3 epi 1 ?? best thing i’ve seen ?? great song choice too 😭,lenardglennm
48,"10,15,2021 5:22",im finding it difficult to finish sex education season 3,thatoivan
49,"10,15,2021 2:27",Sex Education season 3 is BY FAR my favorite season,Dezzyhanna
50,"10,15,2021 2:10",I gotta finish Sex Education season 3,lildnice14
51,"10,15,2021 1:44",I like the little recap they have for the season 3 of “Sex Education”,LB_Kittles
52,"10,15,2021 1:10",Ola is the most annoying character in sex education. I hope she’s not in season 3,littleolesi
53,"10,15,2021 1:01",i just finished season 3 of sex education and 🥺🥺,crossingsaff
54,"10,15,2021 0:58",Season 3 of Sex Education is so damn good. I would protect all of these characters with my fucking life!,ThiccBoiRights
55,"10,15,2021 0:52",It’s been like 2 days and I still am unsure of how I feel about the end of Sex Education season 3,soitskatherine
56,"10,15,2021 0:51",I know I’m probably late to the discourse for Season 3 of Sex Education but I just wanna say I fucking hate Hope with every fiber of my being and making Viv a pawn for this white woman’s puritanical tyranny rubs me the wrong way.,imsrychrisj
57,"10,15,2021 0:28","Said I wasn’t gonna binge my way through season 3 of Sex Education and yet here I am, penultimate episode. https://t.co/1FCDTzcgnG",tuhmesken
58,"10,15,2021 0:20","Things I’ve seen that I’ve liked recently on telly:

- Final season of On My Block 
- Latest series of Sex Education 
- Hip Hop Uncovered 
- Currently up to episode 3 of Good Girls 
- Movies The Made Us: The Nightmare Before Christmas episode 

@LampScientists",WhyWouldWe
59,"10,14,2021 23:48",watching sex education season 3 and episode 6 got me so fucking nervous y'all,junggo_okie
60,"10,14,2021 23:09",Omg they really stepped it up season 3 of Sex Education. Ya girl really been sitting here like: https://t.co/euWd1z7rTs,DgirlHino_Enma
61,"10,14,2021 22:49",I'm only 3 eps into season 1 of sex education and I'm already in tears????,omvrmvtvr
