,Tweet Date,text,Twitter Handle
430,"10,10,2021 2:10",Sex education season 3 was a chiefs kiss..,Wigs_on_Deck39
431,"10,10,2021 1:36",I think i’ve outgrown Sex Education season 3.  Not into it…,JasonnarT
432,"10,10,2021 1:12",Was Season 3 Episode 7 of Sex Education like a fucking LOT for anyone else?,bariboywonder
433,"10,10,2021 1:08",Season 3 of sex education is so upsetting omfg,carad3guanabana
434,"10,10,2021 1:01",can you leave him alone? he’s just finished season 3 of sex education https://t.co/F9WFQXO7aG,mcgayverly
435,"10,10,2021 0:48","Join the highlight event of the season on an iconic course in the heart of Princeton for the @PrincetonHalf! All proceeds support HiTOPS, a 501(c)(3) non-profit organization that provides sex education &amp; LGBTQ support for young people throughout NJ.https://t.co/H91axRsfKO  ... https://t.co/ihD6aAR7Tf",RunTriMag
436,"10,10,2021 0:41","Jean Milburn's exchange with her doctor in Season 3, Episode 5 of SEX EDUCATION is just gold.",JohnHic34063021
437,"10,10,2021 0:15","Okay, it’s late but I just finished Season 3 of Sex Education and - no spoilers but - why did I tear up at the scene with Layla &amp; the binder? There were so many moving moment in that episode, but Layla’s sheer joy in that scene coupled with their bruises just had me like 😁😭😁😭",AshiLockie
438,"10,09,2021 23:51",Just finished season 3…. Sex Education did it again dammit!,micolayy
439,"10,09,2021 22:28",@_prospektsmarch that graffiti artist ended sex education season 3,orionzspark
440,"10,09,2021 22:25",im finally watching sex education season 3 and FUCK THIS HEAD TEACHER FOR THE WAY SHES TREATING THE NON-BINARY STUDENTS,jade_booklion
441,"10,09,2021 21:55",tried to watch season 3 of sex education and all the ugly british caucasians having sex made me turn it off,ihateadam_
442,"10,09,2021 21:49",halfway through season 3 of sex education and why is every character starting to annoy me https://t.co/XaHqRSxArt,yjyIove
443,"10,09,2021 21:42",I’m still not over how dirty they did ruby in sex education season 3,tahliasdragrace
444,"10,09,2021 21:23",Season 3 of sex education is wild because this is actually what British schools are like - HELL!,m_mxrtha
445,"10,09,2021 20:58",started sex education season 3 and it is…interesting. I do not like the new headmaster she is suspicious,jbluesky7
446,"10,09,2021 20:37",hope in season 3 of sex education deserves nothing but dust.,alegna_repooc
447,"10,09,2021 20:34",Adam from Sex Education is my favorite in season 3.,ehlboogie
448,"10,09,2021 20:26",im trying to start sex education and i somehow accidentally pressed season 3 ? ok so now i watched 30 mins of the wrong episode no wonder i’m confused,305DISTANCE
449,"10,09,2021 20:07","With more stories about queer relationships, gender presentation and intimacy with a disability, Season 3 of “Sex Education” continues to widen its lens and include experiences that rarely are explored on mainstream television, @laurnosa writes. https://t.co/5lCejPpvBB",nytimesarts
450,"10,09,2021 20:03",•sex education season 3 https://t.co/my2mpK1Dde,worldwidepotato
451,"10,09,2021 20:00",okay i finished sex education 3 and how are aimee and maeve still not a thing pls..... also is emma mackey not coming back for season 4,sellachich
452,"10,09,2021 19:52","sex education season 3 is solidifying adam, jackson and aimee as my favorite characters 🫂",505suga
453,"10,09,2021 19:43","Sex Education season 3 spoilers //

PLEASE TELL ME MAUREEN AND MICHAEL AREN'T GETTING BACK TOGETHER",GayWithBroadway
454,"10,09,2021 19:34",#NowWatching SEX EDUCATION season 3 https://t.co/TfoQhexKJD,marco_issa
455,"10,09,2021 19:28",I finished watching season 3 of Sex Education and now I have no clue what to do with my life.,electic27
456,"10,09,2021 19:25","So I recently started watching sex education. Like, yesterday.
Is it bad that I'm already on season 3.....",Piss_Yeen
457,"10,09,2021 19:18",no i’m just casually watching sex education season 3 and why is he suddenly dressed like that 😭🖐,505suga
458,"10,09,2021 19:09",Finally watchin season 3 of sex education 🤩,KushMyers
459,"10,09,2021 19:08",Watchin season 3 of sex education and when I tell y’all I hate this head teacher bitch Hope!!! #sexeducation,tia_nicole__
460,"10,09,2021 19:06",i’m finally continuing sex education i’m on ep 3 of season 1 lolll,carteroendgame
461,"10,09,2021 18:50",That head teacher from sex education season 3 is hot,SobczMik
462,"10,09,2021 18:45","Nah the way they started season 3 of Sex Education, went crazy",supah_hot_Jeo
463,"10,09,2021 18:23",@Gabanry @sexeducation the source: https://t.co/msbywhJjlg,sixdaisyjones
464,"10,09,2021 18:20","- Sex Education Season 3 (2021)
.
.
#sexeducation #sexeducation3 #sexeducationseason3 #otis #maeve #hollywood #hollywoodmovie #hollywoodmovies #english #cinema #movie #film #dialogue #dialogues #quote #quotes #webseries #moviequotes #tvseries #series #bestfilmylines https://t.co/yhFoWZHiyf",BestFilmylines_
465,"10,09,2021 18:09","I love that Jemima Kirke read the scripts for season 3 of Sex Education and was like ""ok I'll be giving this exactly 50%""",jmsnftzptrck
466,"10,09,2021 18:02",guysguysguys my dad is on season 3 of sex education and he says he really likes it,wo0psiedaisies
467,"10,09,2021 18:01",finally watching sex education season 3 :],smilishdenki
468,"10,09,2021 18:00","The season 3 soundtrack of ""Sex Education"" smoothly blends the retro and modern feels of the show to create a fresh sound, writes Barbara Norton PO ’25.",TSLnews
469,"10,09,2021 17:51",Watching Netflix “Sex Education” Season 3 and frankly this is one 🔥 show!,ShukriWrights
470,"10,09,2021 17:41",@305inwonder Sex education season 3 just finished…,yraveragefan
471,"10,09,2021 17:22","Binged Sex Education, just finished Season 3 and it was such a good watch.",Andarne_
472,"10,09,2021 16:57","@BrettFishA Chilling with 4Leggeds &amp; favourite 2Legged human, &amp; finishing Season 3 of Netflix’s Sex Education.",Ivy_Ann
473,"10,09,2021 16:41",Sex Education season 3 is making me feel a lot of things and I don't like it A BIT,twixflo___
474,"10,09,2021 16:40",maeve wiley motis maeveiamee sex ed education netflix season 3 childish gambino les emma mackey https://t.co/zNpnAT9ety,wlwbonnie
475,"10,09,2021 16:31",Sex Education season 3 finale had me like https://t.co/0dv1VQwUg8,tesskiyoko
476,"10,09,2021 16:06","Sex Education, season 3, episode 8",AliveToBeDead
477,"10,09,2021 15:50","sex education, season 3, ep 5 https://t.co/9byDxrboLR",rebregazinha
478,"10,09,2021 15:41","After realising I haven't yet watched Loki, Sex Education Season 3 and Squid Games - https://t.co/8rN0JnpRbR",parangat90
479,"10,09,2021 15:21","69. Sex Education - season 3 (2019-)
created by: Laurie Nunn https://t.co/8y2bqOjqN5",angel_rosie16
480,"10,09,2021 15:07","@Yuuzarashi Sex Education season 3 is the best one yet, hands down.",MichaelViehl
481,"10,09,2021 15:01",We just started season 3 of Sex Education. I'm getting sketchy vibes from that head teacher.,pudpie_
482,"10,09,2021 15:01","So far season 3 of sex education ain’t  bad, I’m only on episode 2 and I let out the biggest cackle that boy Eric’s reactions are priceles, Ncuti deserves all the flowers",talesofivory
483,"10,09,2021 14:58","Finally finished season 3 of Sex Education - and while I could talk for hours about all the things I love about the show (and the few I don’t), I just can’t make sense of the geography of the town (?) where it’s meant to take place.",MaraDettmann
484,"10,09,2021 14:57","147. Sex Education Season 3 (2021, US TV Series) https://t.co/HGQaC2hgvq",Elbert_Reyner
485,"10,09,2021 14:52",this is prettier x https://t.co/Uztn4m3Kr7 https://t.co/nyPAUzdAiA,ncutigatwa
486,"10,09,2021 14:38","The depth, richness and resilience of Black queer stories truly shine in Season 3 of ""Sex Education."" https://t.co/6zNFaAflKD via @HuffPostArts",GinaLawriw
487,"10,09,2021 14:29","Dear White People S4 is out Sex Education Season 3 and Pose Season 3, I have so much to watch! Also watching Community from time to time, still at S2 tho",Yuuzarashi
488,"10,09,2021 14:18",@DhirajDanicha Sex Education season 3,reputationist13
489,"10,09,2021 13:56",What should i watch first? Sex Education season 3 or Squid Game?,DhirajDanicha
490,"10,09,2021 13:51",Emotional rollercoaster. Kayak Sex Education season 3 haha 🙃,sidhanty
491,"10,09,2021 12:57",the cat scene in sex education season 3 just sent me to another planet iykyk,logbwebb
492,"10,09,2021 12:24","wishes this month: 

- sex education season 4
- never have I ever season 3 
- otis and maeve endgame!
- rahim and adam endgame HAHAHAHA
- eric and oda endgame charot HSHSHSHS",treasuremyboiz
493,"10,09,2021 12:00","Wowee in all the #Halloween hype we almost forgot about the absolute treat that was #SexEducation Season 3!

Come check out what we thought of the new season now at https://t.co/2yDmsA0xfq https://t.co/z0j843DDdm",WorthitPoints
494,"10,09,2021 11:57","Anyone else watching Sex Education season 3? Or 2 or 1? Amazing. I think every possible sexual preference gets covered. Hilarious, sad, endearing, poignant and charming. You’d think Gillian Anderson would be top billing. Wrong. An ensemble where every character has a full arc. 🤩",deckeyesbevan
495,"10,09,2021 11:46",@TylerWDesign 100% same here. Sex Education Season 3 was amazing too,JWCREATES
496,"10,09,2021 11:19","Netflix muna bago manood game ng Blacklist latuurrrrr

Sex Education Season 3 EP 6 🥳 https://t.co/BOyGT9tFk7",leonasanxx
497,"10,09,2021 11:00",Sex Education Soundtrack for season 3 is smashing it ⁦@NetflixUK⁩  https://t.co/WTlx2SQRgX,Kit_katty10
498,"10,09,2021 9:09",Season 3 of Sex Education was brilliant 🔥,Haydenfreedom
499,"10,09,2021 9:02","Just started season 3 of Sex Education. Absolutely love this show.

Do you have a fave character?",Katvolutionb1
500,"10,09,2021 8:26",Finished watch Sex Education Season 3 and I more focused to maeve and aimee friendship! Why people a lot say more about Ruby &amp; Otis and how Eric broke Adam's heart? There's more than that,_raissair
501,"10,09,2021 8:04",When you think you're gonna be cool for growing a mustache but its turn out looks like Otis Sex Education season 3 instead 🙂 https://t.co/RugrOD4QBU,Cvffeebean__
502,"10,09,2021 7:47","Ruby from sex education was always there from the start of season 1

But why do I suddenly see tiktoks of guys drooling over her in season 3

Like boys, only because she dated Otis doesn't mean your stinky ass has a chance 

My man otis did the bare minimum, being a decent human",Zorenade
503,"10,09,2021 7:23","Malaysia reminds me of Season 3 of Sex Education where the new principal, Hope attempts to create a positive image of the school by making cosmetic changes without addressing the real issues at hand.",rahmahghazali
504,"10,09,2021 7:13","just finished sex education, holy shit the season 3 was bad",frambyno
505,"10,09,2021 6:59",@_bratzlily Sex education season 3.,jisootil
506,"10,09,2021 6:38","@yrphantomlimb I’m watching season 3 now and am enjoying it. They announced a season 4! 🎉 But probably not til fall 2022… 

https://t.co/uBrFfHZtsq",cougsta
507,"10,09,2021 5:47","Sex education season 3 is thus far disappointing, which bums me out because the first two seasons were so brilliant",BrennanLikesYou
508,"10,09,2021 5:07",Finally watching season 3 of sex education,homosethual
509,"10,09,2021 5:03",Ok but I’m watching season 3 of Sex Education and I wasn’t expecting the first episode to start out the way it is 😂,Tommobreeze
510,"10,09,2021 4:50","Happy end-of-academic-conference season to me! I did 8 in the past five months like the noob that I am, and never again. 😂 Let's eat, play the piano, and binge season 3 of Sex Education and Squid Game! ❤ 12.8k steps #LockdownWalks https://t.co/yOBBWJuBOR",catherineyoung
511,"10,09,2021 4:41",Rewatching Sex Education before we dive into season 3. Episode 3 is just a stellar piece of television.,jessegamble
512,"10,09,2021 4:32","In any other TV series, this would’ve felt like checking off the sexual behaviour/preferences for every possible audience group. But for a series as good natured, based on hormone-fueled teenagers and literally called Sex Education, it works! https://t.co/Gyd39GJIrs",r0h1n
513,"10,09,2021 4:30","Check out our review of Season 3 of 'Sex Education.' 

https://t.co/2VrapqsuaA",TheAffinityMag
514,"10,09,2021 4:13","Not just for this, but especially for this. Season 3 of Sex Education is fantastic. I (again) wish I’d had a show like this growing up https://t.co/PydktHebvm",chris_stevenson
515,"10,09,2021 3:20",i am finally starting season 3 of sex education and damnnnnn 😳 it got sexier just within the first 5 mins,Sanductive
516,"10,09,2021 2:46",@ScriptPipeline Sex Education Season 3 #PipelineWriters,ThatVDOVault
517,"10,09,2021 2:42",I’m living for all this Nigerian queerness-o on season 3 episode 6 of Sex Education. https://t.co/LnQDqRQFNq,adeniji_x
518,"10,09,2021 2:30","#FCReadersWrite: 'For me the show was about owning individuality, accepting flaws and being unapologetically yourself' - FC reader Isha Anand writes in her review of #SexEducation.
https://t.co/5jjueROGch",FilmCompanion
519,"10,09,2021 2:13",Im done with sex education season 3. To sum it all up. Im guessing there will be another season because otis and maeve rship is not a goodbye yet but will see each other again. Lol Next season might be more intense between them.,soulwxnderlust
520,"10,09,2021 2:11","Just finished downloading Sex Education season 3 on Netflix. It's time to Netflix and Chill with my own self. Next, Squid Game.",Hermanss26
521,"10,09,2021 2:01","Hapit na nako mahuman ang season 3 of Sex Education, started watching season 1 like a week ago pa uy. Wtf 😭",ver_clarita
522,"10,09,2021 1:30",@sarahgruesome Thought you meant season 3 of Sex Education! That’s been good so far.,K__g_nV_g_n
523,"10,09,2021 0:43",Don't watch the last two episodes of Sex Education Season 3 unless you want to bawl/weep for 60-80 minutes on and off. Fucked me up in a good way more than anything else I've been watching and I surely should not have done this right after my work week wrapped up (because fml),EndorphinsSC
524,"10,08,2021 23:50","Ok finally finished it and season 3 of sex education was quite lacklustre. Feels a massive drop off since seasons 1/2. Hope’s character is weird and not v well fleshed out, the Ruby x Otis dynamic was great so after that ended halfway through the season fell off",rajiv_guha
525,"10,08,2021 23:41",The high school band choral cover of 'Fuck The Pain Away' by Peaches in 'Sex Education' Season 3 is my new favourite thing ever. So catchy! 🎧🥰,MxMils
526,"10,08,2021 23:18",grateful for this opportunity to finally start season 3 of sex education,jaszade
527,"10,08,2021 23:17","Is anyone bothered by the fact that in Sex Education the kids keep going into the place with asbestos?? AND THEN IN SEASON 3, THEY TEAR IT DOWN WITH NO ASBESTOS REMEDIATION??",glitteringkatie
528,"10,08,2021 22:58",the ending of season 3 of sex education https://t.co/M4enOAbTIU,skatergh0st
529,"10,08,2021 22:34",Finally finished season 3 of sex education and I can’t wait for season 4 🥺 I loved all the character development,nathennnn_
530,"10,08,2021 21:39",Just finished Season 3 of Sex Education on @netflix   A total bloody triumph. 💪👍,LardyBoy2011
531,"10,08,2021 21:34",sex education : season 3 (2021) https://t.co/95946NZZHE,shutupjoao
532,"10,08,2021 21:06",Sex Education season 3 🔥🔥🔥,b_chillen
533,"10,08,2021 21:00","Have you seen #SexEducation3 yet?
https://t.co/1L6OOWr3oX",FashionCanada
534,"10,08,2021 20:53",just finished Sex Education season 3 and this is quite easily the best show on TV right now,truesuckah
535,"10,08,2021 20:34","Sex education season 3-
Weird, but…okay? It feels familiar but it feels like the passion behind it is just not okay, it feels so much less organic and forced and compacted to shove in certain plot points to the point where it’s trying to lengthen itself by not ending the show",DrakethKun
536,"10,08,2021 20:29",Sex Education season 3 https://t.co/GlAzyXBZpt,coldplay_HQ
537,"10,08,2021 20:23",@hayleystjames sex education - season 3 vibes,dianacp42
538,"10,08,2021 20:11",So started watching the first episode of sex education season 3 while eating and oh boy,lsdoesntknow
539,"10,08,2021 20:11",the double date was the best part of sex education season 3 !!,samunwise04
540,"10,08,2021 19:56",I’m speaking up. Sex education season 3 was trash. Hope could’ve been a really interesting new character that we aren’t just supposed to hate right off the bat. The bending of circumstance to make Maeve and Otis get screen time and the disregard for the real good relationships,its_evan_yeah
541,"10,08,2021 19:51","Sex Education, Season 3 (2019-2021) https://t.co/oHIfKbzU6P",Belinda_JonasJB
542,"10,08,2021 19:51","Season 3, episode 8 of sex education. Fuck, this show is incredible.",hadria_mare
543,"10,08,2021 19:50","📷 qpocdaily: CAL BOWMAN and JACKSON MARCHETTI in Sex Education, Season 3 https://t.co/kyZ3aFapb6",jamonr129
544,"10,08,2021 19:48","Movie schedule for the night

-James bond: No time to die
-Venom: Let there be Carnage
-Sex education season 3

This should be fun 🍿",onlyoneray17
545,"10,08,2021 19:34",watching season 3 of sex education and seen 6 episodes and oh my god this fkn headmaster is getting on my nerves,smartlilwomen
546,"10,08,2021 19:29",@marcfy_ I went from season 3 of sex education straight into squid game highly recommended,oliviadirienzo
547,"10,08,2021 19:10",Sex Education Season 3 Episode 8 (2021) https://t.co/ngAnwK7m0s,AlifRozaliF
548,"10,08,2021 19:09",Sex Education Season 3 Episode 8 (2021) https://t.co/iaU7jQ1TIA,AlifRozaliF
549,"10,08,2021 19:07","Had to subscribe to Netflix so I can watch Squid Game and Dave Chappelle special. 

Sex Education season 3 is out too!! Imma be chillin tonight!!!",iRhymeForReason
550,"10,08,2021 19:03",📷 saracamerons: SEX EDUCATION | SEASON 3 (2021) Speaking up for what you believe in is never a waste of time. https://t.co/JrB3rrfDqo,imaginarymargo
551,"10,08,2021 19:01",Sex education season 3 is wild,_Leeeeeeeez
552,"10,08,2021 18:53",iiii need to watch sex education season 3,localkittyboy
553,"10,08,2021 18:38",Should I watch sex education. There are 3 season and so many episodes.. 🤕,MVaish06
554,"10,08,2021 18:30","Sex Education returns with a third season that definitely captured more essence to the minor characters. 

https://t.co/2VrapqaSM0",TheAffinityMag
555,"10,08,2021 18:28","Sex Education season 3 really disappointed. Corny as hell, and the Hope head teacher character just didn’t make any sense.",itscallurrrm
556,"10,08,2021 18:28","In a single breath, season 3 of Sex Education teaches the public about PrEP and U=U. 

Alexa, add this to the ""things we like to see"" list.",GaymerAryn
557,"10,08,2021 16:25","The depth, richness and resilience of Black queer stories truly shine in Season 3 of ""Sex Education."" https://t.co/6zNFaAflKD via @HuffPostArts",GinaLawriw
558,"10,08,2021 16:22",idc the highlight of sex education season 3 is aimee's Goat,_xelinee_
559,"10,08,2021 16:22",Sex Education season 3 https://t.co/e5YGet118T,myraramy1234
560,"10,08,2021 16:16",Season 3 of Sex Education is the best so far. Adam really shined this season.,yojoannn
561,"10,08,2021 16:00",Also finally season 3 of sex education and Adam and his father were my fav !!! Such great character development. Also justice for ruby !,Marielduhh
562,"10,08,2021 15:49",🐑: i watched a series in one day. season 3... it’s called sex education.. leon! https://t.co/GHhTeyfwnW,yangx2says
563,"10,08,2021 15:44","i finished squid game, and i finished sex education. the circle is also wrapped for season 3. what if? on disney+ just had its finale. i have no more shows to watch 🙁 ☹ oh lawd am i gonna resort to love island AGAIN",alifzrai
564,"10,08,2021 15:17","idk ppl are complaining about sex education season 3 
guys I finally got to like Otis, i mean the series is great lol",Teptris
565,"10,08,2021 14:24","Im in season 3 of sex education, best teenager serie i ever watched in my entire life.",talizzfn
566,"10,08,2021 14:20","@Nomz_no And SA kne are worse yho, they take forever

Manje Sex Education, aay angazi maan, i wanted to try it, ku sayi season 1 i only watched 2/3 episodes and jumped to another series, ingihlulile",Matamela_JuJu
567,"10,08,2021 13:31",Season 3 of Sex Education was soooo good!,_nail_em
568,"10,08,2021 13:27",watching season 3 of sex education to celebrate this depressing birthday.,jongindae_
569,"10,08,2021 13:23",Sex education season 3 telegram link please,gudman_tweets
570,"10,08,2021 12:46",Sex Education (Season 3) https://t.co/Y8vZlH8oKm,loucuraeximia
571,"10,08,2021 12:18",Nothing will hurt more than the end of sex education season 1 episode 8. They ruined the show by season 3 😒,gisellesangel
572,"10,08,2021 12:16",*spoiler alert* but @sexeducation season 3 episode 4 here has one of the greatest scenes in tv history ever and it’s absolutely astounding to me how the current discourse is all squid game and no sex education https://t.co/CbJiZYvr3g,promiseli_
573,"10,08,2021 11:57",can't stop watching Sex Education season 3 but my mates want to play valorant together in 10 mins sighhhhhhhhhhhhhh dunno what to do,ddeultraman
574,"10,08,2021 11:45","#FCReadersWrite: 'For me the show was about owning individuality, accepting flaws and being unapologetically yourself' - FC reader Isha Anand writes in her review of #SexEducation. https://t.co/5jjueROGch",FilmCompanion
575,"10,08,2021 11:36",jesus christ sex education season 3 was a whole roller coaster aaa,wavenn_
576,"10,08,2021 10:34","1. 'Maya' from Beyhadh 
2. 'Caroline' fron TVD 
3. 'Otis' from 'Sex Education'
4. 'Shivraj Shekhar' from Balika Vadhu 
5. 'Priya' from Bade Acche Lagte Hai ( Season 1) https://t.co/ixVZGHmyVK",freedom_light_
577,"10,08,2021 10:24",aimee gibbs fancam edit sex education season 3 #sexeducation #sexeducationseason3 maeve wiley otis milburn eric effiong jean milburn adam groff jackson marchetti lily iglehart ola nyman ruby matthews steve morley aimee lou wood I https://t.co/nPINNVCpZI,sunsetsevens
578,"10,08,2021 10:11","So, I rewatched season 3 of Sex Education and I love it, and it’s so cute and usually spot on, but how is Adam’s entire storyline just him being shamed for not being fully comfortable to publicly come out as bi? And for not being ready to have sex with a man? Makes no sense.",chimenesuleyman
579,"10,08,2021 10:08",How did you guys feel about season 3 of SEX EDUCATION,makhanya_ndumi
580,"10,08,2021 8:40","“When I was a teenager, if I had seen this show, I wouldn’t have held onto all of the gross feelings about myself, just in me being me,” Saleh said. “I wouldn’t have been as shameful about just existing.” https://t.co/HhIhpOpb6U",iamjayleep
581,"10,08,2021 8:38","📺 Sex Education

Season 3: Ep 5

#SexEducation #Netflix",ron_sampaga
582,"10,08,2021 8:36",The best acting award goes to Adam and Eric. These two are the life of the show tbh. I can't explain how much I love Eric's personality. He's such a mood! I also love Adam's character development in Season 3 of Sex Education.,ItsTeeriffic
583,"10,08,2021 8:35",Have to say this was my favourite scene in sex education season 3 love how they covered the issue of disabled people and intimacy and sex it was so beautifully done bravo once again to the writers for covering one of the many important issues https://t.co/dHOr1bzCyY,msjokerquinn
584,"10,08,2021 8:04","@urlocalcutebish 27- @peachsojuwu cause we're the closest
32- I don't really find Taiju that ugly actually 
34- last time when I started sex education season 3 with full sound 💀 if you know you know",msby_tangerine
585,"10,08,2021 7:45","📺 Sex Education

Season 3: Ep 4

#SexEducation #Netflix",ron_sampaga
586,"10,08,2021 7:45",‘Sex Education’ Gets More Inclusive in Its Intimacy https://t.co/htDXYgs2eu,EastVillChris
587,"10,08,2021 6:00",Ok so thoughts on Sex Education season 3: (spoilers),copper_roses
588,"10,08,2021 5:40",Anwar understanding Latin was the most surprising thing season 3 of Sex Education showed me.,mattersofdedrea
589,"10,08,2021 5:34",‘Sex Education’ Gets More Inclusive in Its Intimacy https://t.co/DCZk3xgFfD,mrtetard
590,"10,08,2021 5:29",@CarlstromNc Stop avoiding sex education season 3 😤,jennabswanson
591,"10,08,2021 5:18","@CarrieJoDowd @pineylonesome Yes, I'm watching this and season 3 of Sex Education right now. Scenes From a Marriage when I have more time and energy.",MeanieMary
592,"10,08,2021 5:17",Season 3 of Sex Education was pretty good but pretty ehh,iRockBoots12
593,"10,08,2021 5:07",I’m finally watching season 3 of sex education,crystalbull3t
594,"10,08,2021 4:59",@alien_cubano Sex Education season 3,puto_con_nalgas
595,"10,08,2021 4:50",sex education: season 3 (2019-) https://t.co/HM2BLG3kYf,copyofhllnd
596,"10,08,2021 4:46",Sex education season 3 only thing keeping me happy,Emogirl101111
597,"10,08,2021 4:42",finished season 3 of sex education &amp; cant wait for the next one 🥺,amorjeongguk
598,"10,08,2021 4:35",Season 3 of Sex Education has been the best one yet. 👌🏽,HiMyNameIsSaul
599,"10,08,2021 4:11","i just finished sex education 

I KNOW SEASON 3 JUST CAME OUT BUT SEASON 4 COME QUICKER PLEASE",thefall_els
600,"10,08,2021 3:56",You sons of bitches! The trailer for season 3 of Sex Education features All At Once by Airborne Toxic Event! Now I have to watch this stupid show until completion.,PonFarrPorFavor
601,"10,08,2021 3:49","@burgermommyy hold my beer bit*h, I haven't watched Sex education's season 3 yet",not_kushagra
602,"10,08,2021 3:44",now who was gonna tell me that sex education season 3 has been out for like a month now????,calsrainboots
603,"10,08,2021 3:30",watchin geno smith play football in 2021 was very fun time to finish sex education season 3 now we got 2 episodes left then we watchin the new chappelle special https://t.co/hyWDYCNNmX https://t.co/JktCTm194B,Vincognitoo
604,"10,08,2021 3:27",The sex education season 3 soundtrack is amazing,nay_lilly
605,"10,08,2021 2:59",i just got a crush on the twins that appear 3:28 before the ending of sex education season three episode two. Good night.,chockymilk696
606,"10,08,2021 2:57",i just got a huge spoiler for season 3 of sex education……….. nobody hmu Im genuinely very sad,pupkiu
607,"10,08,2021 2:48",why are y’all saying sex education season 3 isn’t giving? it’s awesome so far,wbiassaunders
608,"10,08,2021 2:30",watching sex education season 3 finally time to live tweet. first the headmaster racist i know it,ri_rina_kina
609,"10,08,2021 2:08",Good for Sex Education for having condom use be in the forefront in the sex montage in the first episode of Season 3.,Pentecostelle
610,"10,08,2021 1:58",Ruby. Season 3 of Sex Education on Netflix. @mimikeene3. That is all.,TheBobfather28
611,"10,08,2021 1:56","@jkelkar @RainofTerra @ElieNYC @netflix I don't understand how they could do a show like season 3 of Sex Education, which was VERY inclusive and made me teary eyed to see so much representation, and then put out garbage like this that puts down the same people they gave a beautiful voice to. It's so performative",bows3633
612,"10,08,2021 0:58","“When I was a teenager, if I had seen this show, I wouldn’t have held onto all of the gross feelings about myself, just in me being me. I wouldn’t have been as shameful about just existing.” via @NYTimes https://t.co/xziENcAvxJ",nsarnoff
613,"10,08,2021 0:42","I still need to watch season 3 of Sex Education too

I've only seen the first ep 💀💀",Bussy_Heart
614,"10,08,2021 0:22",So glad Charity Kase is talking about her HIV diagnosis and the stigma around it. Dovetails nicely with the U=U in Sex Education season 3 too #DragRaceUK,itsjacksonbbz
615,"10,08,2021 0:08",depending on how bad the seahawks are losing I'll prob go live around halftime we finishing sex education season 3 the last 2 episodes then watching the new chappelle special maybe somethin else after who knows https://t.co/DaFTVKE1le,Vincognitoo
616,"10,07,2021 23:54",finding the remix of  titties by wiki before sex education season 3 came out revolutionized my world,klondikequeer
617,"10,07,2021 23:20",‘Sex Education’ Gets More Inclusive in Its Intimacy https://t.co/t31Nb4tkBz,akbarth3great
618,"10,07,2021 23:20",‘Sex Education’ Gets More Inclusive in Its Intimacy https://t.co/kJL8PSBbRE,sameepshastri
619,"10,07,2021 23:17",Season 3 last episode of Sex Education broke me I will not be taking questions at this time,jo_aa1250
620,"10,07,2021 23:12",4. Sex Education (Season 3) https://t.co/B8mazaFcdT,_xvigh
621,"10,07,2021 23:12",This show does it so well. ‘Sex Education’ Gets More Inclusive in Its Intimacy https://t.co/vdE9vQZSdm,DarrellBorquez
622,"10,07,2021 23:04",Idk why it’s taken me until season 3 to realize I actually love sex education like I just love love 🥺🥺💕,monicavillalo13
623,"10,07,2021 23:04",1 episode in to Sex Education Season 3 has one of the best soundtrack holy shit!,RhythmJAM
624,"10,07,2021 23:02",The intro of sex education season 3 is everything 😂,josseedoo
625,"10,07,2021 22:58","144: Sex Education Season 3 

We dive into simply our favourite TV show and talk about season 3 and the show at large. 

Spoilers! 

https://t.co/zNxUfW5Ssr",imaginarypod
626,"10,07,2021 22:41","The needle drops in Sex Education Season 3 are fucking insane. William Onyeabear, new-morning era Dylan, KRS-One, and Big Mama Thornton's ""Hound Dog"" all in the same place.",WatchPolyphonic
627,"10,07,2021 22:33",Finished sex education season 3! Imma watch squirt games now,riverofhell
628,"10,07,2021 22:16","Sex Education has some things I don't like. But there are some genuine good things about the series, mostly releated to the inclusion aspect

Sadly this plot point could have made a chapter apperance in season 3, hope they bring it back again. It was really interesting... https://t.co/x3mPSPCdMd",enrique_abyss
629,"10,07,2021 22:07",I totally forgot sex education season 3 came out! Binge time!,RhythmJAM
630,"10,07,2021 21:15",@brendanhunting @TedLasso Will the season 3 therapist be Dr Jean Milburn from Sex Education?,kitsterkitster
631,"10,07,2021 20:56",Who watched sex education season 3,Trudie_25
632,"10,07,2021 20:44","Netflix's Sex Education is an awesome show &amp; season 3 is exceptional. Renewed for a 4th, can't wait! https://t.co/7MDP04c5cm",ECanelake
633,"10,07,2021 20:36","Finally watching Sex Education Season 3, and boy, does the new Head Master character, Hope, give off big Stormfront (The Boys) energy! https://t.co/pmVVtjXY1M",CommaComrade
634,"10,07,2021 20:35","Sex Education (series)
• season 3 • https://t.co/B6SCa6E0o7",taliafromhell2
635,"10,07,2021 20:24",finally getting around to watching season 3 of sex education and HOW is it so good?!?!?!,well_i_am_the_b
636,"10,07,2021 20:23",staring season 3 of sex education 🥳,505suga
637,"10,07,2021 20:21","The way season 3 starts of Sex Education starts off is wild. But also, why would I expect anything less? 😭",KSIBS_
638,"10,07,2021 20:02",Season 3 of sex education has been so good so far I’m not disappointed at all,moniccadanielle
